province;happiness_score_percent;coast_stat
adana;53.0;1
adiyaman;65.01;0
afyonkarahisar;76.43;0
agri;60.09;0
amasya;66.02;0
ankara;56.23;0
antalya;49.79;1
artvin;62.72;1
aydin;53.46;1
balikesir;70.73;1
bilecik;63.55;0
bingol;59.49;0
bitlis;59.09;0
bolu;70.15;0
burdur;56.81;0
bursa;61.1;1
canakkale;63.63;1
cankiri;73.5;0
corum;56.56;0
denizli;56.74;0
diyarbakir;48.67;0
edirne;54.06;1
elazig;51.73;0
erzincan;64.57;0
erzurum;65.68;0
eskisehir;62.69;0
gaziantep;58.09;0
giresun;65.46;1
gumushane;61.05;0
hakkari;70.58;0
hatay;50.31;1
isparta;70.35;0
mersin;52.84;1
istanbul;58.4;1
izmir;58.24;1
kars;56.5;0
kastamonu;59.95;1
kayseri;58.11;0
kirklareli;53.19;1
kirsehir;67.2;0
kocaeli;57.19;1
konya;65.57;0
kutahya;73.76;0
malatya;53.92;0
manisa;63.92;0
kahramanmaras;68.19;0
mardin;51.6;0
mugla;52.4;1
mus;54.67;0
nevsehir;64.53;0
nigde;64.94;0
ordu;58.19;1
rize;61.55;1
sakarya;69.64;1
samsun;61.01;1
siirt;71.65;0
sinop;77.66;1
sivas;59.52;0
tekirdag;56.54;1
tokat;59.33;0
trabzon;57.59;1
tunceli;41.98;0
sanliurfa;57.33;0
usak;72.34;0
van;58.69;0
yozgat;60.7;0
zonguldak;51.12;1
aksaray;67.84;0
bayburt;75.91;0
karaman;63.02;0
kirikkale;75.48;0
batman;52.27;0
sirnak;71.36;0
bartin;60.39;1
ardahan;60.71;0
igdir;59.6;0
yalova;63.73;1
karabuk;56.38;0
kilis;60.85;0
osmaniye;45.77;0
duzce;72.77;1
