province;satisfied_with_healthcare_percent;satisfied_with_education_percent;coast_stat
adana;72.47;63.85;1
adiyaman;74.62;69.01;0
afyonkarahisar;87.33;88.89;0
agri;63.31;65.27;0
amasya;86.51;87.53;0
ankara;68.11;57.97;0
antalya;68.74;62.24;1
artvin;80.13;83.15;1
aydin;78.03;70.83;1
balikesir;83.01;82.68;1
bilecik;81.52;76.8;0
bingol;66.76;68.26;0
bitlis;72.52;68.97;0
bolu;85.03;81.47;0
burdur;78.84;74.63;0
bursa;77.3;73.45;1
canakkale;79.8;75.53;1
cankiri;81.77;79.57;0
corum;78.17;69.15;0
denizli;80.1;71.74;0
diyarbakir;70.79;66.12;0
edirne;81.04;78.4;1
elazig;77.63;70.44;0
erzincan;74.6;75.36;0
erzurum;79.57;73.25;0
eskisehir;75.51;57.71;0
gaziantep;81.44;80.35;0
giresun;85.12;83.72;1
gumushane;84.75;84.14;0
hakkari;54.55;48.18;0
hatay;70.86;64.86;1
isparta;89.13;86.61;0
mersin;74.66;72.39;1
istanbul;67.43;61.59;1
izmir;72.6;65.9;1
kars;75.13;74.63;0
kastamonu;83.08;86.06;1
kayseri;76.97;69.57;0
kirklareli;76.15;75.76;1
kirsehir;86.43;81.94;0
kocaeli;70.54;66.54;1
konya;82.04;78.22;0
kutahya;85.07;85.49;0
malatya;77.78;69.06;0
manisa;85.22;81.58;0
kahramanmaras;85.8;82.54;0
mardin;68.34;67.29;0
mugla;71.48;66.79;1
mus;61.47;63.66;0
nevsehir;85.62;76.85;0
nigde;84.41;81.55;0
ordu;81.63;77.75;1
rize;86.24;84.43;1
sakarya;84.0;80.56;1
samsun;84.31;80.46;1
siirt;79.41;68.78;0
sinop;80.55;87.48;1
sivas;79.38;72.39;0
tekirdag;75.07;76.88;1
tokat;82.1;78.64;0
trabzon;82.59;71.69;1
tunceli;63.56;63.3;0
sanliurfa;79.21;74.03;0
usak;88.56;84.69;0
van;64.36;66.7;0
yozgat;81.05;82.46;0
zonguldak;72.86;72.8;1
aksaray;81.6;81.09;0
bayburt;75.71;72.93;0
karaman;84.79;83.01;0
kirikkale;88.09;81.67;0
batman;70.14;66.28;0
sirnak;57.52;61.73;0
bartin;81.28;78.59;1
ardahan;72.38;72.76;0
igdir;72.08;77.81;0
yalova;78.85;70.82;1
karabuk;76.95;75.72;0
kilis;78.99;82.02;0
osmaniye;78.39;73.4;0
duzce;73.95;52.77;1
