province;coast_stat;happiness_score_percent;employment_rate_percent;average_years_in_school;satisfied_with_education_percent;hospital_beds_per_100k;satisfied_with_healthcare_percent
adana;1;53.0;46.6;9.3;63.85;312;72.47
adiyaman;0;65.01;43.8;8.7;69.01;189;74.62
afyonkarahisar;0;76.43;51.9;8.6;88.89;317;87.33
agri;0;60.09;43.5;7.5;65.27;182;63.31
amasya;0;66.02;50.1;9.0;87.53;258;86.51
ankara;0;56.23;49.6;10.8;57.97;431;68.11
antalya;1;49.79;55.5;9.9;62.24;280;68.74
artvin;1;62.72;52.3;9.3;83.15;209;80.13
aydin;1;53.46;48.8;9.1;70.83;309;78.03
balikesir;1;70.73;51.0;9.2;82.68;266;83.01
bilecik;0;63.55;51.9;9.4;76.8;267;81.52
bingol;0;59.49;42.6;9.1;68.26;244;66.76
bitlis;0;59.09;45.0;8.6;68.97;296;72.52
bolu;0;70.15;54.2;9.3;81.47;425;85.03
burdur;0;56.81;52.0;9.0;74.63;278;78.84
bursa;1;61.1;50.9;9.6;73.45;264;77.3
canakkale;1;63.63;49.9;9.4;75.53;315;79.8
cankiri;0;73.5;47.6;8.6;79.57;231;81.77
corum;0;56.56;46.5;8.3;69.15;323;78.17
denizli;0;56.74;53.6;9.3;71.74;307;80.1
diyarbakir;0;48.67;39.5;8.5;66.12;273;70.79
edirne;1;54.06;53.6;9.1;78.4;463;81.04
elazig;0;51.73;43.0;9.1;70.44;522;77.63
erzincan;0;64.57;46.1;9.3;75.36;273;74.6
erzurum;0;65.68;49.8;8.9;73.25;493;79.57
eskisehir;0;62.69;49.1;10.1;57.71;396;75.51
gaziantep;0;58.09;45.2;8.9;80.35;411;81.44
giresun;1;65.46;51.9;8.6;83.72;390;85.12
gumushane;0;61.05;43.9;8.8;84.14;219;84.75
hakkari;0;70.58;35.3;9.6;48.18;172;54.55
hatay;1;50.31;44.3;8.7;64.86;325;70.86
isparta;0;70.35;51.4;9.6;86.61;472;89.13
mersin;1;52.84;47.8;9.3;72.39;268;74.66
istanbul;1;58.4;52.8;10.2;61.59;299;67.43
izmir;1;58.24;49.9;9.9;65.9;325;72.6
kars;0;56.5;54.2;8.4;74.63;287;75.13
kastamonu;1;59.95;55.9;8.2;86.06;304;83.08
kayseri;0;58.11;45.5;9.5;69.57;335;76.97
kirklareli;1;53.19;51.5;9.4;75.76;269;76.15
kirsehir;0;67.2;43.5;9.1;81.94;243;86.43
kocaeli;1;57.19;54.2;10.0;66.54;259;70.54
konya;0;65.57;48.6;9.0;78.22;379;82.04
kutahya;0;73.76;48.9;8.7;85.49;344;85.07
malatya;0;53.92;48.8;9.1;69.06;472;77.78
manisa;0;63.92;53.1;8.7;81.58;321;85.22
kahramanmaras;0;68.19;44.4;8.7;82.54;272;85.8
mardin;0;51.6;38.2;8.2;67.29;196;68.34
mugla;1;52.4;51.0;9.9;66.79;238;71.48
mus;0;54.67;39.1;8.1;63.66;189;61.47
nevsehir;0;64.53;49.2;9.0;76.85;271;85.62
nigde;0;64.94;47.8;8.7;81.55;243;84.41
ordu;1;58.19;51.2;8.4;77.75;297;81.63
rize;1;61.55;52.9;9.3;84.43;320;86.24
sakarya;1;69.64;53.5;9.4;80.56;223;84.0
samsun;1;61.01;48.7;9.0;80.46;384;84.31
siirt;0;71.65;37.1;8.5;68.78;225;79.41
sinop;1;77.66;46.8;8.3;87.48;287;80.55
sivas;0;59.52;47.1;8.9;72.39;450;79.38
tekirdag;1;56.54;56.0;9.5;76.88;277;75.07
tokat;0;59.33;50.0;8.4;78.64;369;82.1
trabzon;1;57.59;51.1;9.4;71.69;401;82.59
tunceli;0;41.98;43.0;9.5;63.3;168;63.56
sanliurfa;0;57.33;42.3;7.7;74.03;193;79.21
usak;0;72.34;51.0;8.9;84.69;303;88.56
van;0;58.69;38.9;8.2;66.7;273;64.36
yozgat;0;60.7;49.0;8.4;82.46;292;81.05
zonguldak;1;51.12;47.1;8.6;72.8;391;72.86
aksaray;0;67.84;47.1;8.6;81.09;255;81.6
bayburt;0;75.91;50.3;9.1;72.93;238;75.71
karaman;0;63.02;50.1;9.0;83.01;248;84.79
kirikkale;0;75.48;41.4;9.4;81.67;439;88.09
batman;0;52.27;40.7;9.0;66.28;280;70.14
sirnak;0;71.36;41.6;8.8;61.73;130;57.52
bartin;1;60.39;54.2;8.4;78.59;245;81.28
ardahan;0;60.71;60.6;8.4;72.76;226;72.38
igdir;0;59.6;50.3;8.4;77.81;155;72.08
yalova;1;63.73;46.4;9.9;70.82;260;78.85
karabuk;0;56.38;44.2;9.2;75.72;294;76.95
kilis;0;60.85;46.3;9.4;82.02;277;78.99
osmaniye;0;45.77;43.6;9.2;73.4;314;78.39
duzce;1;72.77;55.3;9.1;52.77;223;73.95
